medcodeid,term,snomedct_conceptid,snomedct_descriptionid,eth16_2001,eth18_2011,eth19_2021
1565131000006111,Lebanese,1565131000006107,1565131000006111,Any other ethnic group,Arab,Arab
1565151000006116,Libyan,1565151000006100,1565151000006116,Any other ethnic group,Arab,Arab
1565321000006110,Moroccan,1565321000006106,1565321000006110,Any other ethnic group,Arab,Arab
1565511000006113,Portuguese,1565511000006109,1565511000006113,Any other White background,Any other White background,Any other White background
1565651000006110,Sierra Leonean,1565651000006106,1565651000006110,African,African,African
1565661000006112,Singaporean,1565661000006108,1565661000006112,Any other ethnic group,Any other Asian background,Any other Asian background
1565691000006116,Solomon Islander,1565691000006100,1565691000006116,Any other ethnic group,Any other ethnic group,Any other ethnic group
1565701000006116,Somali,1565701000006100,1565701000006116,African,African,African
1573201000006119,Portuguese,1573201000006103,1573201000006119,Any other White background,Any other White background,Any other White background
2615361000000115,Slovak Roma,718961001,3314522012,Any other White background,Any other White background,Roma
2615461000000111,Czech Roma,718959005,3314516015,Any other White background,Any other White background,Roma
2615531000000117,Hungarian Roma,718963003,3314530013,Any other White background,Any other White background,Roma
2615571000000115,Polish Roma,718964009,3314534016,Any other White background,Any other White background,Roma
2615611000000112,Romanian Roma,718960000,3314520016,Any other White background,Any other White background,Roma
2615691000000115,Bulgarian Roma,718962008,3314526010,Any other White background,Any other White background,Roma
6260901000006118,Ethnic group,364699009,487864014,Not stated,Not stated,Not stated
7779801000006116,Roma,718958002,3314514017,Any other White background,Any other White background,Roma
250227018,Australian origin,160518001,NA,Any other ethnic group,Any other ethnic group,Any other ethnic group
250229015,Middle Eastern origin,160520003,NA,Any other ethnic group,Any other ethnic group,Any other ethnic group
250230013,Far Eastern origin,160521004,NA,Any other ethnic group,Any other Asian background,Any other Asian background
1158211000000111,Romanian,445343003,NA,Any other White background,Any other White background,Any other White background
1158301000000115,Bulgarian,29343004,NA,Any other White background,Any other White background,Any other White background
1160331000000119,Czech,286009,NA,Any other White background,Any other White background,Any other White background
6846391000006112,Caucasoid race,413773004,NA,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
12009371000006110,Patient declined to provide information about ethnic group,763726001,NA,Not stated,Not stated,Not stated
